tree,depth,RMSE
34,63,0.009181
35,63,0.009429
36,63,0.009325
37,63,0.009005
38,63,0.009114
39,63,0.009316
40,63,0.009102
20,64,0.009468
21,64,0.009349
22,64,0.009537
23,64,0.009454
24,64,0.009226
25,64,0.009091
26,64,0.009263
27,64,0.009724
28,64,0.009572
29,64,0.008769
30,64,0.009238
31,64,0.008971
32,64,0.009329
33,64,0.009087
34,64,0.009438
35,64,0.00901
36,64,0.009149
37,64,0.009265
38,64,0.009057
39,64,0.009055
40,64,0.00933
